,Unnamed: 0.1,level_0,index,Unnamed: 0,Unnamed: 0.2,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Developer/Publisher country
1576,1576,1576,1576,1576,1576,Tenchu: Wrath of Heaven,PS2,2003.0,Action,Activision,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.4,38.0,Activision,M,United States of America
1577,1577,1577,1577,1577,1577,Shadow of the Colossus,PS2,2005.0,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,91.0,77.0,9.1,933.0,SIE Japan Studio,T,Japan
1578,1578,1578,1578,1578,1578,Ninja Gaiden Sigma,PS3,2007.0,Action,Eidos Interactive,0.57,0.32,0.09,0.16,1.14,88.0,46.0,7.5,155.0,Team Ninja,M,Japan
1579,1579,1579,1579,1579,1579,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0,Yuke's,T,Japan
1580,1580,1580,1580,1580,1580,Pokemon Rumble Blast,3DS,2011.0,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,56.0,36.0,7.1,50.0,Ambrella,E10+,Japan
1581,1581,1581,1581,1581,1581,007: Quantum of Solace,PS3,2008.0,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0,Treyarch,T,United States of America
1582,1582,1582,1582,1582,1582,Super R.C. Pro-Am,GB,1991.0,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,,,6.0,4.0,Nintendo,,Japan
1583,1583,1583,1583,1583,1583,South Park,N64,1998.0,Shooter,Acclaim Entertainment,0.9,0.23,0.0,0.02,1.14,,,3.8,51.0,Acclaim Entertainment,,United States of America
1584,1584,1584,1584,1584,1584,Commando,NES,1986.0,Action,Capcom,0.71,0.16,0.25,0.03,1.14,,,5.2,27.0,Capcom,,Japan
1585,1585,1585,1585,1585,1585,Pilotwings,SNES,1990.0,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,,,,,Nintendo,,Japan
1586,1586,1586,1586,1586,1586,The Lord of the Rings: The Return of the King,XB,2003.0,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,84.0,31.0,9.1,31.0,Electronic Arts,T,United States of America
1587,1587,1587,1587,1587,1587,Hot Shots Golf: Out of Bounds,PS3,2007.0,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,81.0,66.0,8.8,32.0,Clap Hanz,E,Japan
1588,1588,1588,1588,1588,1588,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,Take-Two Interactive,0.45,0.45,0.06,0.18,1.14,,,7.4,17.0,Rockstar Games,M,United States of America
1589,1589,1589,1589,1589,1589,Ratchet & Clank: All 4 One,PS3,2011.0,Platform,Sony Computer Entertainment,0.75,0.21,0.05,0.12,1.14,,,5.4,83.0,Sony Computer Entertainment,,United States of America
1590,1590,1590,1590,1590,1590,Sunset Overdrive,XOne,2014.0,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1137.0,Insomniac Games,M,United States of America
1591,1591,1591,1591,1591,1591,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,73.0,15.0,8.8,32.0,Capcom,T,Japan
1592,1592,1592,1592,1592,1592,Need for Speed Underground 2,GC,2004.0,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14,,,,,Electronic Arts,,United States of America
1593,1593,1593,1593,1593,1593,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79.0,60.0,8.2,201.0,CyberConnect2,T,Japan
1594,1594,1594,1594,1594,1594,MechAssault,XB,2002.0,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13,87.0,32.0,8,47.0,Day 1 Studios,T,United States of America
1595,1595,1595,1595,1595,1595,EA Sports Active: More Workouts,Wii,2009.0,Sports,Electronic Arts,0.76,0.27,0.0,0.1,1.13,80.0,15.0,tbd,,Electronic Arts,E,United States of America
1596,1596,1596,1596,1596,1596,Cars,GBA,2006.0,Racing,THQ,0.81,0.3,0.0,0.02,1.13,50.0,8.0,4.7,6.0,THQ,E,United States of America
1597,1597,1597,1597,1597,1597,Watch Dogs 2,PS4,2016.0,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0,Ubisoft,M,France
1598,1598,1598,1598,1598,1598,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,67.0,25.0,6.1,31.0,Traveller's Tales,E10+,United Kingdom
1599,1599,1599,1599,1599,1599,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,84.0,55.0,8.6,14.0,Ubisoft,M,France
1600,1600,1600,1600,1600,1600,Donkey Kong,NES,1983.0,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,,,6.0,288.0,Nintendo,,Japan
1601,1601,1601,1601,1601,1601,Mirror's Edge,PS3,2008.0,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,79.0,66.0,7.8,362.0,Electronic Arts,T,United States of America
1602,1602,1602,1602,1602,1602,Guitar Hero 5,X360,2009.0,Other,Activision,0.65,0.37,0.0,0.11,1.13,85.0,69.0,6.8,108.0,Activision,T,United States of America
1603,1603,1603,1603,1603,1603,Alien: Isolation,PS4,2014.0,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,Creative Assembly,M,United Kingdom
1604,1604,1604,1604,1604,1604,Jampack Winter '98,PS,1998.0,Other,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13,,,,,Sony Computer Entertainment,,United States of America
1605,1605,1605,1605,1605,1605,Fantasy Life,3DS,2012.0,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73.0,51.0,8.6,209.0,Nintendo,E10+,Japan
1606,1606,1606,1606,1606,1606,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005.0,Role-Playing,Nintendo,0.81,0.3,0.0,0.02,1.13,,,,,Nintendo,,Japan
1607,1607,1607,1607,1607,1607,SingStar,PS3,2007.0,Other,Sony Computer Entertainment,0.45,0.56,0.0,0.12,1.13,82.0,48.0,5.9,15.0,SIE London Studio,T,United Kingdom
1608,1608,1608,1608,1608,1608,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73.0,73.0,7.6,179.0,Nintendo,E,Japan
1609,1609,1609,1609,1609,1609,Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,0.01,1.12,,,5.8,12.0,Atari,,United States of America
1610,1610,1610,1610,1610,1610,Supercar Street Challenge,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,1.12,57.0,15.0,7.6,9.0,Activision,E,United States of America
1611,1611,1611,1611,1611,1611,Pilotwings 64,N64,1996.0,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,,,6.2,66.0,Nintendo,,Japan
1612,1612,1612,1612,1612,1612,Rabbids Go Home,Wii,2009.0,Platform,Ubisoft,0.25,0.74,0.0,0.14,1.12,78.0,50.0,8.3,32.0,Ubisoft,E10+,France
1613,1613,1613,1613,1613,1613,ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,201.0,United Front Games,E,Canada
1614,1614,1614,1614,1614,1614,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12,82.0,44.0,8.6,63.0,Zipper Interactive,M,United States of America
1615,1615,1615,1615,1615,1615,Rocksmith,PS3,2011.0,Other,Ubisoft,0.53,0.36,0.09,0.15,1.12,80.0,27.0,8.3,52.0,Ubisoft,T,France
1616,1616,1616,1616,1616,1616,Call Of Duty 2: Big Red One,XB,2005.0,Shooter,Activision,0.66,0.4,0.0,0.05,1.12,78.0,46.0,5.1,27.0,Treyarch,T,United States of America
1617,1617,1617,1617,1617,1617,Yoshi's Cookie,NES,1992.0,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12,,,5.4,7.0,Nintendo,,Japan
1618,1618,1618,1618,1618,1618,Rocksmith,X360,2011.0,Other,Ubisoft,0.84,0.19,0.01,0.08,1.12,77.0,30.0,8.2,62.0,Ubisoft,T,France
1619,1619,1619,1619,1619,1619,Guitar Hero 5,PS2,2009.0,Other,Activision,0.28,0.3,0.0,0.54,1.12,71.0,4.0,2.6,10.0,Activision,T,United States of America
1620,1620,1620,1620,1620,1620,Yakuza 3,PS3,2009.0,Action,Sega,0.21,0.2,0.62,0.08,1.12,79.0,77.0,8.1,165.0,Sega,M,United States of America
1621,1621,1621,1621,1621,1621,Persona 4: Golden,PSV,2012.0,Role-Playing,Atlus,0.36,0.23,0.38,0.15,1.12,93.0,61.0,9.2,1228.0,Atlus,M,Japan
1622,1622,1622,1622,1622,1622,Spider-Man 2,XB,2004.0,Action,Activision,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.3,40.0,Treyarch,T,United States of America
1623,1623,1623,1623,1623,1623,Crackdown 2,X360,2010.0,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.1,1.12,70.0,91.0,6,202.0,Ruffian Games,M,United Kingdom
1624,1624,1624,1624,1624,1624,The Beatles: Rock Band,PS3,2009.0,Other,MTV Games,0.67,0.29,0.0,0.15,1.12,88.0,60.0,8.7,59.0,Harmonix Music Systems,T,United States of America
1625,1625,1625,1625,1625,1625,Dragon Age II,X360,2011.0,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79.0,75.0,4.5,2380.0,BioWare,M,Canada
1626,1626,1626,1626,1626,1626,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007.0,Action,Activision,0.63,0.37,0.0,0.11,1.11,,,,,Activision,,United States of America
1627,1627,1627,1627,1627,1627,Guitar Hero Encore: Rocks The 80s,PS2,2007.0,Other,RedOctane,0.92,0.04,0.0,0.15,1.11,69.0,50.0,6.3,31.0,Harmonix Music Systems,T,United States of America
1628,1628,1628,1628,1628,1628,Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11,84.0,52.0,7.3,95.0,Electronic Arts,M,United States of America
1629,1629,1629,1629,1629,1629,Rock Band,PS2,,Other,Electronic Arts,0.71,0.06,0.0,0.35,1.11,82.0,8.0,6.8,13.0,Harmonix Music Systems,T,United States of America
1630,1630,1630,1630,1630,1630,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,94.0,70.0,9,160.0,Ubisoft,M,France
1631,1631,1631,1631,1631,1631,NBA Jam Tournament Edition,GEN,1994.0,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11,,,7.6,26.0,Acclaim Entertainment,,United States of America
1632,1632,1632,1632,1632,1632,Donkey Kong Jr.,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,,,5.4,9.0,Nintendo,,Japan
1633,1633,1633,1633,1633,1633,Arc the Lad,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11,,,6.2,13.0,Sony Computer Entertainment,,United States of America
1634,1634,1634,1634,1634,1634,Pikmin 3,WiiU,2013.0,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87.0,79.0,8.7,664.0,Nintendo,E10+,Japan
1635,1635,1635,1635,1635,1635,WWE 2K14,X360,2013.0,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11,75.0,43.0,7.7,100.0,Yuke's,T,Japan
1636,1636,1636,1636,1636,1636,Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11,,,5.8,1.0,Ubisoft,,France
1637,1637,1637,1637,1637,1637,Megamania,2600,1981.0,Shooter,Activision,1.03,0.06,0.0,0.01,1.1,,,5.4,8.0,Activision,,United States of America
1638,1638,1638,1638,1638,1638,Jungle Hunt,2600,1982.0,Platform,Atari,1.03,0.06,0.0,0.01,1.1,,,6.0,15.0,Atari,,United States of America
1639,1639,1639,1639,1639,1639,Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,85.0,62.0,8,468.0,Mercury Steam,M,Spain
1640,1640,1640,1640,1640,1640,Triple Play 98,PS,1997.0,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1,,,7.6,1.0,Electronic Arts,,United States of America
1641,1641,1641,1641,1641,1641,Lode Runner,NES,1984.0,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1,,,6.0,21.0,Hudson Soft,,Japan
1642,1642,1642,1642,1642,1642,F-Zero X,N64,1998.0,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1,,,7.8,162.0,Nintendo,,Japan
1643,1643,1643,1643,1643,1643,Popeye,NES,1983.0,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,,,5.8,1.0,Nintendo,,Japan
1644,1644,1644,1644,1644,1644,NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1,74.0,18.0,tbd,2.0,EA Sports,E,United States of America
1645,1645,1645,1645,1645,1645,SingStar Legends,PS2,2006.0,Other,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1,76.0,25.0,tbd,,SIE London Studio,T,United Kingdom
1646,1646,1646,1646,1646,1646,SingStar Rocks!,PS2,2006.0,Other,Sony Computer Entertainment,0.0,0.84,0.0,0.25,1.1,,,,,Sony Computer Entertainment,,United States of America
1647,1647,1647,1647,1647,1647,Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,86.0,60.0,8.5,176.0,Namco,T,Japan
1648,1648,1648,1648,1648,1648,LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1,80.0,66.0,8.2,283.0,Nintendo,E10+,Japan
1649,1649,1649,1649,1649,1649,Need for Speed: ProStreet,Wii,2007.0,Racing,Electronic Arts,0.53,0.45,0.0,0.12,1.1,61.0,16.0,6.9,14.0,Electronic Arts,E10+,United States of America
1650,1650,1650,1650,1650,1650,GRID,PS3,2008.0,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1,87.0,39.0,8.1,109.0,Codemasters,E,United Kingdom
1651,1651,1651,1651,1651,1651,Medal of Honor: Airborne,X360,2007.0,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1,73.0,54.0,6.7,77.0,Electronic Arts,T,United States of America
1652,1652,1652,1652,1652,1652,Star Ocean: The Second Story,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,80.0,13.0,8.5,44.0,tri-Ace,E,Japan
1653,1653,1653,1653,1653,1653,Petz Dogz 2,DS,2007.0,Simulation,Ubisoft,0.46,0.51,0.0,0.12,1.1,,,tbd,,MTO,E,Japan
1654,1654,1654,1654,1654,1654,NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.08,1.09,77.0,18.0,5.8,74.0,Electronic Arts,E,United States of America
1655,1655,1655,1655,1655,1655,Yakuza 2,PS2,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,77.0,34.0,8.1,52.0,Amusement Vision,M,Japan
1656,1656,1656,1656,1656,1656,Guitar Hero 5,PS3,2009.0,Other,Activision,0.53,0.39,0.0,0.17,1.09,86.0,54.0,5.7,87.0,Activision,T,United States of America
1657,1657,1657,1657,1657,1657,Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,75.0,21.0,8.9,39.0,Webfoot Technologies,E,United States of America
1658,1658,1658,1658,1658,1658,NERF N-Strike,Wii,2008.0,Shooter,Electronic Arts,0.91,0.09,0.0,0.09,1.09,66.0,13.0,4.4,7.0,Electronic Arts,E10+,United States of America
1659,1659,1659,1659,1659,1659,NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09,97.0,22.0,6,47.0,Visual Concepts,E,United States of America
1660,1660,1660,1660,1660,1660,Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.09,68.0,51.0,7.6,58.0,Activision,T,United States of America
1661,1661,1661,1661,1661,1661,Project CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83.0,37.0,6.6,363.0,Slightly Mad Studios,E,United Kingdom
1662,1662,1662,1662,1662,1662,Madden NFL 2004,XB,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09,92.0,27.0,8.3,48.0,Electronic Arts,E,United States of America
1663,1663,1663,1663,1663,1663,Sonic and the Black Knight,Wii,2009.0,Platform,Sega,0.64,0.34,0.01,0.1,1.09,54.0,51.0,6.9,198.0,Sega,E10+,United States of America
1664,1664,1664,1664,1664,1664,The Godfather,PS2,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75.0,56.0,8.3,99.0,Electronic Arts,M,United States of America
1665,1665,1665,1665,1665,1665,Sonic Free Riders,X360,2010.0,Racing,Sega,0.74,0.25,0.0,0.09,1.09,47.0,52.0,2.1,98.0,Sega,E,United States of America
1666,1666,1666,1666,1666,1666,Star Wars: Bounty Hunter,PS2,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,65.0,32.0,8.3,33.0,LucasArts,T,United States of America
1667,1667,1667,1667,1667,1667,Densha De Go!,PS,1997.0,Simulation,Taito,0.0,0.0,1.02,0.07,1.09,,,,,Taito,,Japan
1668,1668,1668,1668,1668,1668,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74.0,42.0,6.9,41.0,Yuke's,T,Japan
1669,1669,1669,1669,1669,1669,LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,0.61,0.38,0.0,0.1,1.09,66.0,8.0,tbd,326.0,Traveller's Tales,E,United Kingdom
1670,1670,1670,1670,1670,1670,NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.07,1.09,76.0,20.0,5.5,65.0,Electronic Arts,E,United States of America
1671,1671,1671,1671,1671,1671,Skate 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84.0,70.0,8,72.0,EA Black Box,T,Canada
1672,1672,1672,1672,1672,1672,NFL Blitz 2000,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09,,,7.4,21.0,Midway Games,,United States of America
1673,1673,1673,1673,1673,1673,NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,88.0,15.0,8.9,77.0,Electronic Arts,E,United States of America
1674,1674,1674,1674,1674,1674,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,1.08,,,6.6,41.0,THQ,E,United States of America
1675,1675,1675,1675,1675,1675,Imagine: Babysitters,DS,2008.0,Simulation,Ubisoft,0.63,0.35,0.0,0.1,1.08,,,tbd,2.0,Ubisoft,E,France
1676,1676,1676,1676,1676,1676,Namco Museum Battle Collection,PSP,2005.0,Other,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.08,73.0,28.0,7.2,9.0,Sony Computer Entertainment,E10+,United States of America
1677,1677,1677,1677,1677,1677,Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.1,1.08,90.0,62.0,6.9,2981.0,Creative Assembly,T,United Kingdom
1678,1678,1678,1678,1678,1678,Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,85.0,47.0,7.4,67.0,Sega AM3,T,Japan
1679,1679,1679,1679,1679,1679,Dante's Inferno,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75.0,69.0,7.5,265.0,Visceral Games,M,United States of America
1680,1680,1680,1680,1680,1680,Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.08,,,6.8,240.0,Disney Interactive Studios,,United States of America
1681,1681,1681,1681,1681,1681,Joust,2600,1982.0,Platform,Atari,1.01,0.06,0.0,0.01,1.08,,,6.0,46.0,Atari,,United States of America
1682,1682,1682,1682,1682,1682,Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,58.0,21.0,6,19.0,Ubisoft,T,France
1683,1683,1683,1683,1683,1683,Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.37,0.3,0.28,0.13,1.08,,,,,Square Enix,,Japan
1684,1684,1684,1684,1684,1684,Forza Horizon 3,XOne,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0,Playground Games,E,United Kingdom
1685,1685,1685,1685,1685,1685,Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08,,,5.8,20.0,Disney Interactive Studios,,United States of America
1686,1686,1686,1686,1686,1686,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,,,5.6,15.0,Midway Games,,United States of America
1687,1687,1687,1687,1687,1687,Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,0.43,0.4,0.0,0.24,1.08,70.0,10.0,8.1,49.0,Krome Studios,T,Australia
1688,1688,1688,1688,1688,1688,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,40.0,23.0,6.1,22.0,Webfoot Technologies,T,United States of America
1689,1689,1689,1689,1689,1689,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08,,,5.0,16.0,Ubisoft,,France
1690,1690,1690,1690,1690,1690,Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,67.0,59.0,8.1,106.0,Namco,T,Japan
1691,1691,1691,1691,1691,1691,Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,69.0,6.0,7.3,121.0,PopCap Games,E10+,United States of America
1692,1692,1692,1692,1692,1692,The Simpsons Game,PSP,2007.0,Action,Electronic Arts,0.24,0.54,0.0,0.3,1.07,59.0,7.0,6.7,15.0,Electronic Arts,T,United States of America
1693,1693,1693,1693,1693,1693,Doko Demo Issyo,PS,1999.0,Other,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,,,8.0,8.0,Sony Computer Entertainment,,United States of America
1694,1694,1694,1694,1694,1694,LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,LucasArts,0.96,0.03,0.0,0.08,1.07,47.0,9.0,5,38.0,LucasArts,E,United States of America
1695,1695,1695,1695,1695,1695,Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,82.0,14.0,7.4,83.0,Treyarch,T,United States of America
1696,1696,1696,1696,1696,1696,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07,73.0,17.0,7.3,8.0,EA Sports,E,United States of America
1697,1697,1697,1697,1697,1697,Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07,,,tbd,4.0,Ubisoft,E,France
1698,1698,1698,1698,1698,1698,Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,85.0,59.0,7.3,245.0,Ubisoft,T,France
1699,1699,1699,1699,1699,1699,Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07,,,5.4,39.0,Sega,,United States of America
1700,1700,1700,1700,1700,1700,WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,1.07,,,7.7,31.0,Yuke's,T,Japan
1701,1701,1701,1701,1701,1701,The Biggest Loser,Wii,2009.0,Sports,THQ,0.86,0.12,0.0,0.09,1.07,,,1.6,2.0,THQ,,United States of America
1702,1702,1702,1702,1702,1702,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07,,,7.2,68.0,Capcom,,Japan
1703,1703,1703,1703,1703,1703,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,76.0,57.0,6.6,198.0,Crystal Dynamics,T,United States of America
1704,1704,1704,1704,1704,1704,NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,,,6.6,7.0,Electronic Arts,,United States of America
1705,1705,1705,1705,1705,1705,Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,76.0,29.0,7.8,36.0,Konami,E,Japan
1706,1706,1706,1706,1706,1706,SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,86.0,57.0,8.4,96.0,Namco,T,Japan
1707,1707,1707,1707,1707,1707,Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07,88.0,44.0,8.8,57.0,Electronic Arts,E,United States of America
1708,1708,1708,1708,1708,1708,MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.54,0.42,0.0,0.11,1.07,60.0,5.0,tbd,8.0,Electronic Arts,E,United States of America
1709,1709,1709,1709,1709,1709,Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,,,6.2,36.0,Sony Computer Entertainment,,United States of America
1710,1710,1710,1710,1710,1710,World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,70.0,31.0,5.6,5.0,Sony Computer Entertainment,E,United States of America
1711,1711,1711,1711,1711,1711,Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,75.0,32.0,8.6,95.0,CyberConnect2,T,Japan
1712,1712,1712,1712,1712,1712,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.38,0.02,0.1,1.07,,,7.6,18.0,Rockstar Games,M,United States of America
1713,1713,1713,1713,1713,1713,Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,66.0,62.0,5.9,552.0,Square Enix,T,Japan
1714,1714,1714,1714,1714,1714,Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,,,6.6,15.0,Electronic Arts,,United States of America
1715,1715,1715,1715,1715,1715,NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,,,,,Electronic Arts,,United States of America
1716,1716,1716,1716,1716,1716,Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,75.0,43.0,8.5,84.0,Midway Games,M,United States of America
1717,1717,1717,1717,1717,1717,Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,81.0,25.0,7.3,14.0,Page 44 Studios,E,United States of America
